SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
506520,JAYSHRI CHEM,X ,Q,10.13,10.60,9.51,9.77,9.85,9.94,49,6889,66819.00,
506522,JL MORISON  ,X ,Q,1619.95,1649.00,1615.00,1617.00,1617.00,1619.95,17,107,174185.00,
506525,KANORIA CHEM,B ,Q,72.00,73.40,71.10,72.35,73.40,72.80,131,10498,754535.00,
506528,KELTECH EN. ,X ,Q,910.95,915.00,880.00,895.85,909.50,892.60,22,354,319721.00,
506530,KEMP & CO.  ,X ,Q,759.95,759.95,757.00,757.00,757.00,724.00,2,6,4550.00,
506532,NITTA GELA  ,X ,Q,133.10,140.90,133.05,136.00,136.00,138.75,25,282,38291.00,
506579,ORIENT.CARB.,B ,Q,1150.00,1150.00,1150.00,1150.00,1150.00,1157.50,4,545,626750.00,
506590,PHIL.CARBON ,B ,Q,207.65,208.50,205.50,206.00,206.00,207.65,1002,72084,14867784.00,
506597,AMAL PRODUCT,X ,Q,131.15,131.15,128.20,130.00,130.00,131.05,10,1505,196730.00,
506618,PUN.CHEM    ,B ,Q,693.10,710.50,693.10,710.25,710.50,687.20,42,456,322105.00,
506642,SADHANA NITR,X ,Q,918.00,941.00,910.00,936.95,936.95,923.25,229,4992,4638620.00,
506655,SUDARSH.CHEM,B ,Q,348.70,353.00,346.00,352.15,351.00,352.05,143,3332,1165661.00,
506685,ULTRAMARINE ,X ,Q,246.45,249.40,245.00,248.60,247.00,246.45,62,2951,727986.00,
506687,TRANSPEK    ,X ,Q,1422.00,1434.00,1404.00,1421.60,1421.60,1438.35,139,3489,4933810.00,
506690,UNICHEM LAB ,B ,Q,191.05,191.80,188.90,190.45,190.30,188.80,326,19963,3796489.00,
506734,MYS PETRO   ,X ,Q,83.15,95.00,83.15,93.45,95.00,90.00,27,1417,130416.00,
506767,ALKYL AMINES,B ,Q,747.00,747.00,737.00,746.00,746.00,753.60,64,446,330778.00,
506820,ASTRAZEN.PH.,B ,Q,1457.95,1510.00,1456.00,1476.50,1469.50,1456.75,259,1229,1823461.00,
506852,PUN.ALKALI  ,X ,Q,65.00,67.80,64.00,65.45,65.00,66.40,67,11348,742552.00,
506854,TANFAC IND. ,X ,Q,236.00,236.00,227.40,229.75,230.90,234.40,189,9115,2105501.00,
506863,SWADESHI IND,X ,Q,1.81,1.81,1.81,1.81,1.81,1.81,1,8,14.00,
506879,GUJ.THEMIS. ,X ,Q,31.55,33.45,31.55,33.10,33.35,32.55,21,2928,96611.00,
506906,SCBL        ,X ,Q,10.10,10.50,9.97,10.10,10.10,10.05,251,244265,2462351.00,
506910,JAYSN DYEST ,X ,Q,59.50,65.55,59.35,65.10,65.55,62.45,13,1305,81547.00,
506919,MAKERS LAB. ,X ,Q,69.50,70.50,67.40,68.05,67.60,68.50,29,2415,166739.00,
506943,J.B.CHEMICAL,B ,Q,301.70,304.00,298.95,302.05,302.05,300.65,50,1342,404742.00,
507155,JAGATJIT IND,XT,Q,46.50,46.50,46.50,46.50,46.50,46.35,1,100,4650.00,
507180,KESAR ENT.  ,T ,Q,29.15,29.15,27.60,27.60,27.60,27.80,2,63,1831.00,
507205,TILAKNAG IND,B ,Q,15.26,15.34,14.90,15.21,15.25,15.27,87,10150,152885.00,
507300,RAVALGAON   ,XT,Q,3176.00,3176.10,3044.50,3176.10,3176.10,3024.90,12,23,72839.00,
507315,SAKTHI SUGAR,T ,Q,13.06,13.06,13.06,13.06,13.06,13.10,2,10,130.00,
507410,WALCHANDNGR ,B ,Q,104.05,111.25,103.90,104.80,103.90,105.10,3550,276624,29545780.00,
507435,KHOD.INDIA  ,XT,Q,68.50,72.00,68.50,69.15,71.90,70.90,10,322,22147.00,
507438,IFB AGRO    ,B ,Q,612.00,646.05,612.00,636.80,636.80,616.30,21,91,57342.00,
507442,DHARANI SUG ,B ,Q,11.06,11.98,11.06,11.96,11.95,11.58,12,838,9661.00,
507450,THIRU A.SUG.,B ,Q,24.70,26.00,24.50,25.25,25.50,25.35,14,1265,32572.00,
507474,KOTHARI FERM,X ,Q,61.90,62.00,61.90,62.00,62.00,63.90,4,250,15480.00,
507488,G.M.BREWERI ,B ,Q,695.65,695.65,676.50,680.45,680.45,693.60,286,4970,3399478.00,
507490,RANA SUGARS ,T ,Q,3.70,3.70,3.52,3.55,3.58,3.62,41,39005,140342.00,
507498,PICCADILY SU,X ,Q,5.25,5.25,4.91,5.24,5.25,5.01,11,5905,30796.00,
507508,RIGA SUGAR  ,XT,Q,7.98,7.98,7.98,7.98,7.98,8.05,1,100,798.00,
507514,SOM DISTILL.,B ,Q,150.35,157.40,150.05,156.25,156.90,153.95,146,4779,741787.00,
507525,AMRIT CORP  ,X ,Q,830.00,845.00,817.10,845.00,845.00,846.00,6,12,9908.00,
507526,ASSO.ALCOHOL,X ,Q,298.60,305.00,295.00,299.25,299.25,296.15,412,21716,6508711.00,
